Name,Coordinates
Roger Park,"42.01, -87.67"
West Ridge,"42, -87.69	"
Uptown,"41.97, -87.66	"
Lincoln Square,"41.97, -87.69	"
North Center,"41.95, -87.68"
Lake View,"41.9435, -87.654167"
Lincoln Park,"41.92, -87.65"
Near North Side,"41.9, -87.63"
Edison Park,"42.01, -87.81"
Norwood Park,"41.98, -87.8"
Jefferson Park,"41.98, -87.77"
Forest Glen,"41.983333, -87.75"
North Park,"41.95, -87.68"
Albany Park,"41.97, -87.72"
Portage Park,"41.95, -87.76"
Irving Park,"41.95, -87.73"
Dunning,"41.95, -87.81"
Montclare,"41.93, -87.8"
Belmont Cragin,"41.93, -87.76"
Hermosa,"41.92, -87.73"
Avondale,"41.94, -87.71"
Logan Square,"41.928333, -87.706667"
Humboldt Park,"41.88, -87.7"
West Town,"41.9, -87.68"
Austin,"41.9, -87.76	"
West Garfield Park,"41.88, -87.73"
East Garfield Park,"41.88, -87.7"
Near West Side,"41.87, -87.67"
North Lawndale,"41.86, -87.71"
South Lawndale,"41.85, -87.71"
Lower West Side,"41.85, -87.66"
Chicago Loop,"41.881944, -87.627778"
Near South Side,"41.857778, -87.623889"
Armour Square,"41.833333, -87.633333"
Douglas,"41.834722, -87.620556"
Oakland,"41.82, -87.6"
Fuller Park,"41.81, -87.626667"
Grand Boulevard,"41.81, -87.62"
Kenwood,"41.81, -87.6"
Washington Park,"41.79, -87.62"
Hyde Park,"41.8, -87.59"
Woodlawn,"41.78, -87.6"
South Shore,"41.76, -87.58"
Chatham,"41.74, -87.611667"
Avalon Park,"41.75, -87.59"
South Chicago,"41.74, -87.55"
Burnside,"41.73, -87.6"
Calumet Heights,"41.728333, -87.579722"
Roseland,"41.71, -87.62"
Pullman,"41.71, -87.62"
South Deering,"41.71, -87.56"
East Side,"41.7, -87.56"
West Pullman,"41.68, -87.63	"
Riverdale,"41.66, -87.61"
Hegewisch,"41.66, -87.55"
Garfield Ridge,"41.816667, -87.76"
Archer Heights,"41.81, -87.73"
Brighton Park,"41.82, -87.7"
McKinley Park,"41.83, -87.67"
Bridgeport,"41.8375, -87.6475"
New City,"41.81, -87.66"
West Elsdon,"41.79, -87.72"
Gage Park,"41.79, -87.69"
Clearing,"41.78, -87.76"
West Lawn,"41.77, -87.72"
Chicago Lawn,"41.77, -87.69"
West Englewood,"41.775833, -87.664167"
Englewood,"41.78, -87.645"
Greater Grand Crossing,"41.76, -87.61"
Ashburn,"41.75, -87.71"
Auburn Gresham,"41.74, -87.66"
Beverly,"41.71, -87.68"
Washington Heights,"41.703833, -87.653667"
Mount Greenwood,"41.7, -87.71"
Morgan Park,"41.69, -87.67"
O'Hare,"42, -87.92"
Edgewater,"41.99, -87.66"
